sop_class_name,value,objects
RT Structure Set Storage,"Follow-up consultation, RIGHT AXILARY LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-Dose, LEFT RENAL VEIN - 1",2
RT Structure Set Storage,"Pre-dose, CHEST WALL LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, HILAR MASS - 1",2
RT Structure Set Storage,"Pre-dose, CERVICAL LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, INGUINAL LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT EXTERNAL ILIAC LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, PERIPORTAL - 1",2
RT Structure Set Storage,"Post-Chemotherapy #1, RIGHT KIDNEY - 1",2
RT Structure Set Storage,"Pre-dose, ILIAC BONE - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT HILAR - 1",2
RT Structure Set Storage,"Pre-Dose, PERIHEPATIC LYMPH NODE - 2",2
RT Structure Set Storage,"Post-Chemotherapy #1, LEFT KIDNEY - 2",2
RT Structure Set Storage,"Pre-Dose, LEFT LUNG - 2",2
RT Structure Set Storage,"Pre-dose, RETROCAVAL LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, LEFT URETER - 1",2
RT Structure Set Storage,"Pre-dose, PERIPANCREATIC - 1",2
RT Structure Set Storage,"Pre-dose, PREAORTIC LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, PARAAORTIC - 2",2
RT Structure Set Storage,"Pre-dose, LEFT ABDOMINAL WALL - 2",2
RT Structure Set Storage,"Pre-dose, PERICARDIAC LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT AXILLA - 1",2
RT Structure Set Storage,"Pre-dose, PUBIC BONE - 2",2
RT Structure Set Storage,"Pre-dose, PROSTATE - 1",2
RT Structure Set Storage,"Pre-dose, PERITONEAL DEPOSIT - 2",2
RT Structure Set Storage,"Post-Chemotherapy #2, PANCREAS - 1",2
RT Structure Set Storage,"Pre-dose, PARACAVAL LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY - 1",2
RT Structure Set Storage,"Pre-Dose, MEDIASTINAL LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-Dose, POSTERIOR ABDOMINAL WALL - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT SCAPULA - 1",2
RT Structure Set Storage,"Pre-dose, LEFT ABDOMINAL WALL - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT NECK - 1",2
RT Structure Set Storage,"Pre-Dose, LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, LEFT NECK - 1",2
RT Structure Set Storage,"Pre-dose, LEFT SACRUM - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT TEMPORAL LOBE - 1",2
RT Structure Set Storage,"Pre-dose, RIGHT SHOULDER - 1",2
RT Structure Set Storage,"Pre-Dose, LEFT HUMERUS - 1",2
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC - 1",2
RT Structure Set Storage,"Pre-dose, VAGINA - 1",2
RT Structure Set Storage,"Pre-dose, LEFT ARM - 1",2
RT Structure Set Storage,"Pre-Dose, THYROID - 1",2
RT Structure Set Storage,"Pre-dose, ABDOMEN - 2",2
RT Structure Set Storage,"Pre-Dose, PELVIC MASS - 1",2
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL MASS - 1",2
RT Structure Set Storage,RTstruct_AlignedT1toPET_BOX,2
Segmentation Storage,tumor seg - MR ref: 2D_AX_T2_FLAIR,2
Segmentation Storage,tumor seg - MR ref: 3D_AX_T2_SPACE,2
Segmentation Storage,previous_resection_cavity seg - MR ref: 3D_AX_T1_postcontrast,2
Segmentation Storage,QIBA CT 1C Reader 6,2
Segmentation Storage,Segmentation of Nodule 2 - Annotation Nodule 005,2
Segmentation Storage,Segmentation of Nodule 3 - Annotation Nodule 007,2
Segmentation Storage,"Pre-dose, LEFT ILIAC BONE - 1",2
Segmentation Storage,"Pre-dose, LEFT INGUINAL LYMPH NODE - 1",2
Segmentation Storage,"Pre-dose, RIGHT PLEURA - 1",2
Segmentation Storage,Segmentation of Nodule 3 - Annotation Nodule 004,2
Segmentation Storage,Segmentation of Nodule 4 - Annotation Nodule 004,2
Segmentation Storage,"Pre-dose, MESENTERIC LYMPH NODE - 1",2
Segmentation Storage,"Pre-dose, RIGHT HILAR LYMPH NODE - 1",2
Segmentation Storage,ACRIN-6698: DWI SEG: from S601: Whole Tumor Manual,2
Segmentation Storage,Segmentation of Nodule 3 - Annotation Nodule 003,2
Segmentation Storage,Segmentation of Nodule 1 - Annotation Nodule 004,2
Segmentation Storage,AIMI liver radiologist 1 corrected segmentation,2
Segmentation Storage,"Pre-dose, LEFT AXILLARY LYMPH NODE - 2",2
Segmentation Storage,"Pre-dose, ILIAC LYMPH NODE - 1",2
Segmentation Storage,"Pre-dose, RIGHT INGUINAL LYMPH NODE - 1",2
Segmentation Storage,BAMFHealth^NonExpert1,2
Segmentation Storage,Segmentation of Nodule 2 - Annotation Nodule 007,2
Segmentation Storage,"Pre-dose, RIGHT BREAST - 1",2
Segmentation Storage,"Pre-dose, PARA AORTIC LYMPH NODE - 1",2
Segmentation Storage,ACRIN-6698: TrT1: DWI SEG: from S1201: Whole Tumor Manual,2
Segmentation Storage,"Pre-dose, SPLEEN - 1",2
Segmentation Storage,"Pre-dose, LEFT AXILLARY LYMPH NODE - 1",2
Segmentation Storage,"Pre-dose, LEFT KIDNEY - 1",2
Segmentation Storage,VOI PE Segmentation thresh=100,2
Segmentation Storage,MAGNETOM VISION plus,2
Segmentation Storage,AIMI kidney tumor cyst radiologist 7 corrected segmentation,2
Segmentation Storage,AIMI lung and nodule radiologist 4 corrected segmentation,2
Segmentation Storage,BAMFHealth^Radiologist4,2
Segmentation Storage,AIMI lung and nodule radiologist 8 corrected segmentation,2
Segmentation Storage,BAMFHealth^Radiologist8,2
Segmentation Storage,DISCOVERY MR750,2
Segmentation Storage,TrioTim,2
Segmentation Storage,AIMI breast-tumor radiologist 10 corrected segmentation,2
Segmentation Storage,BAMFHealth^Radiologist10,2
Comprehensive 3D SR Storage,LightSpeed Power,1
RT Structure Set Storage,"Follow-up consultation, LESION SEED POINT - NO FINDINGS",1
RT Structure Set Storage,"Post-Chemotherapy #2, No Findings",1
RT Structure Set Storage,"Post-Chemotherapy #3, No Findings",1
RT Structure Set Storage,"Pre-dose, RIB - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, THYMUS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SCAPULA - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, BILE DUCT - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, BONE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERIHEPATIC REGION - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT FEMUR - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT LEG - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, GLUTEAL - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT PELVIS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT LEG - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT ORBIT - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT SHOULDER - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT LUNG NODULE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARA TRACHEAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ABDOMINAL WALL NODULE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, BLADDER WALL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, GASTROESOPHAGEAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT ILIAC CREST - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARAVERTEBRAL - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, LEFT RIB - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, CELIAC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, INFRACLAVICULAR LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SUBCUTANEOUS NODULE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT PELVIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT INTERNAL ILIAC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT TEMPORAL LOBE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, UTERUS - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, HIP - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ORBIT - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT PELVIS - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SIGMOID - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ILIUM - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ANUS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ADNEXA - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT HIP - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT HIP - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, BOWEL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, DUODENUM - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, BREAST - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, CHEST - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARA SPINAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT NECK - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ADRENAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERIHEPATIC - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ISCHIUM - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ILIUM - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT SHOULDER - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT AXILLA - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT PERITONEUM - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT KIDNEY - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT SUPRAHILAR - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, MESENTRIC - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, NECK - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARARECTAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERIAORTIC - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT PERITONEUM - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PUBIC SYMPHYSIS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, MESENTRIC - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT PSOAS MUSCLE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT HILUM - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERIGASTRIC - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERIGASTRIC - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT PERITONEUM - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT THYROID - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, NECK LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARAESOPHAGEAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, LUNG - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, PELVIS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT ABDOMEN - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LUNG MED - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LUNG MED - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, PARAAORTIC - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SMALL INTESTINE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, HAND - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SUBCARINAL - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, PARAAORTIC - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RETROCAVAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT ARM - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PORTAHEPATIS LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, HAND - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SUPRAPUBIC LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC BONE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT URETER - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT PUBIC RAMUS - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT NECK LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, NASOPHARYNX - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, SACRUM - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT THYROID GLAND - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SACROILIAC JOINT - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT ILIUM BONE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT INTERNAL ILIAC LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, LEFT OVARY - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PHARYNX AND LARYNX - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT PUBIC RAMUS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PORTACAVAL LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, ESOPHAGEAL LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT PERIHILAR LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT ABDOMINAL WALL - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, LEFT HILUM - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, RIGHT LUNG NODULE - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, PANCREAS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT CHEST WALL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERICARDIAC LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, RIGHT ADRENAL GLAND - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RETROCRURAL LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARASPINAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARAOESOPHAGEAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PANCREATIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, RETROPERITONEUM - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, ABDOMINAL WALL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, MESENTERIC CARCINOID - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, LEFT SUBPECTORAL - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, LEFT ILIAC BONE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT SCAPULA - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PERIPANCREATIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, RIGHT ILIAC BONE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARATRACHEAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, PARAAORTIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, INTERNAL MAMMARY LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, INTERNAL MAMMARY LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, RIGHT CARDIOPHRENIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SUPRACLAVICULAR LYMPH NODES - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, SUPERIOR MEDIASTINAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, SUBCARINAL LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, MESENTERIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, RETROPERITONEAL LYMPH NODE-1 -SEED POINT",1
RT Structure Set Storage,"Follow-up consultation, RECTUM - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, PARACAVAL LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC ANGLE LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-dose, LEFT NECK LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LUNG - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, SPLEEN - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LEFT RENAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, RIGHT PELVIC - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, AORTIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #1, UTERUS - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, PANCREATIC DUCT - 2 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT KIDNEY - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, PARAAORTIC LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #1, LEFT LUNG - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, PARAAORTIC LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, RIGHT KIDNEY - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #1, RIGHT LUNG - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT LUNG - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, RIGHT ADRENAL - 2 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, RIGHT ADRENAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL GLAND - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, INGUINAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #1, LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #1, LEFT ADRENAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL MASS - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, ABDOMINAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LEFT UPPER PARATRACHEAL - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LEFT UPPER PARATRACHEAL - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LEFT INGUINAL LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, VERTEBRAL BONE LESION - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, AXILLARY LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #1, RETROPERITONEAL LYMPH NODE- 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT NECK LYMPH NODE - 1 - SEED POINT",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT NECK LYMPH NODE - 2 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LYMPH NODES OF BODY AS A WHOLE - 1 - SEED POINT",1
RT Structure Set Storage,"Pre-Dose, PANCREAS - 1 - 2 SEED POINT",1
RT Structure Set Storage,"Pre-Dose, LEFT UPPER PARATRACHEAL - 2",1
RT Structure Set Storage,"Follow-up consultation, MESENTERIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, LUNG MED - 2",1
RT Structure Set Storage,"Pre-dose, LUNG MED - 1",1
RT Structure Set Storage,"Follow-up consultation, RIGHT ADRENAL GLAND - 1",1
RT Structure Set Storage,"Pre-dose, PARATRACHEAL LYMPH NODE - 1",1
RT Structure Set Storage,"Post-Chemotherapy #1, LEFT LUNG - 1",1
RT Structure Set Storage,"Follow-up consultation, RIGHT LUNG NODULE - 1",1
RT Structure Set Storage,"Pre-dose, PARASPINAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, PARA SPINAL - 1",1
RT Structure Set Storage,"Follow-up consultation, RETROPERITONEAL LYMPH NODE - 1",1
RT Structure Set Storage,"Post-Chemotherapy #2, RIGHT ADRENAL - 2",1
RT Structure Set Storage,"Pre-dose, PRETRACHEAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT HIP - 2",1
RT Structure Set Storage,"Post-Chemotherapy #1, RETROPERITONEAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-Dose, ABDOMINAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, LUNG - 2",1
RT Structure Set Storage,"Pre-dose, PERIRECTAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-Dose, SPLEEN - 1",1
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC ANGLE LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, PREAORTIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT THYROID - 1",1
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC ANGLE LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, PANCREATIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-Dose, RIGHT PELVIC - 2",1
RT Structure Set Storage,"Pre-Dose, PANCREATIC DUCT - 2",1
RT Structure Set Storage,"Pre-dose, PERIPANCREATIC LYMPH NODE - 1",1
RT Structure Set Storage,"Post-Chemotherapy #2, RIGHT ADRENAL - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT CARDIOPHRENIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT PUBIC RAMUS - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT ABDOMINAL WALL - 2",1
RT Structure Set Storage,"Pre-dose, LEFT ARM - 2",1
RT Structure Set Storage,"Pre-Dose, LEFT UPPER PARATRACHEAL - 1",1
RT Structure Set Storage,"Pre-dose, PARAESOPHAGEAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT NECK LYMPH NODE - 1",1
RT Structure Set Storage,"Follow-up consultation, LEFT ILIAC BONE - 2",1
RT Structure Set Storage,"Pre-dose, PERIHEPATIC - 1",1
RT Structure Set Storage,"Pre-dose, ISCHIUM - 2",1
RT Structure Set Storage,"Pre-Dose, LEFT INGUINAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, SUPRAPUBIC LYMPH NODE - 2",1
RT Structure Set Storage,"Follow-up consultation, LEFT HILUM - 1",1
RT Structure Set Storage,"Pre-Dose, AXILLARY LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, SIGMOID - 1",1
RT Structure Set Storage,"Follow-up consultation, LEFT SUBPECTORAL - 1",1
RT Structure Set Storage,"Pre-dose, LEFT CHEST WALL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT PERITONEUM - 1",1
RT Structure Set Storage,"Pre-dose, SUPERIOR MEDIASTINAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-Dose, PARAAORTIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, INTERNAL MAMMARY LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT PERIHILAR LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-Dose, PARAAORTIC LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, RIGHT HILUM - 2",1
RT Structure Set Storage,"Post-Chemotherapy #1, RIGHT LUNG - 1",1
RT Structure Set Storage,"Pre-dose, LEFT PERITONEUM - 1",1
RT Structure Set Storage,"Pre-dose, DIAPHRAGMATIC LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, LEFT PERITONEUM - 2",1
RT Structure Set Storage,"Pre-dose, RIGHT HIP - 1",1
RT Structure Set Storage,"Pre-dose, ANUS - 1",1
RT Structure Set Storage,"Pre-Dose, AORTIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, NECK LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, RIGHT URETER - 1",1
RT Structure Set Storage,"Pre-dose, LEFT INTERNAL ILIAC LYMPH NODE - 2",1
RT Structure Set Storage,"Follow-up consultation, SUBCARINAL LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, PORTAHEPATIS LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, LEFT KIDNEY - 2",1
RT Structure Set Storage,"Pre-dose, HIP - 1",1
RT Structure Set Storage,"Pre-dose, PARAOESOPHAGEAL LYMPH NODE - 1",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT LUNG - 1",1
RT Structure Set Storage,"Pre-dose, PERICARDIAC LYMPH NODE - 2",1
RT Structure Set Storage,"Follow-up consultation, PARAAORTIC LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, INTERNAL MAMMARY LYMPH NODE - 2",1
RT Structure Set Storage,"Post-Chemotherapy #1, LEFT ADRENAL - 1",1
RT Structure Set Storage,"Pre-dose, MESENTRIC - 2",1
RT Structure Set Storage,"Pre-dose, PORTACAVAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, ADRENAL - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT DIAPHRAGM - 1",1
RT Structure Set Storage,"Pre-dose, LEFT NECK LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-Dose, VERTEBRAL BONE LESION - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT ILIUM BONE - 2",1
RT Structure Set Storage,"Pre-dose, ADNEXA - 1",1
RT Structure Set Storage,"Pre-dose, PARAESOPHAGEAL - 1",1
RT Structure Set Storage,"Follow-up consultation, PANCREAS - 1",1
RT Structure Set Storage,"Follow-up consultation, RIGHT ILIAC BONE - 1",1
RT Structure Set Storage,"Pre-dose, RETROCRURAL LYMPH NODE - 2",1
