sop_class_name,value,objects
RT Structure Set Storage,RTstruct_AlignedT1toPET,47
Segmentation Storage,Segmentation of prostate lesion 2,47
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY LYMPH NODE - 1 - SEED POINT",44
Segmentation Storage,Segmentation - No tumor lesions detected,44
RT Structure Set Storage,"Pre-dose, LEFT PLEURA - 1 - SEED POINT",43
RT Structure Set Storage,"Pre-dose, PERITONEAL LYMPH NODE - 2 - SEED POINT",43
RT Structure Set Storage,"Pre-dose, RIGHT HILUM - 1",42
Segmentation Storage,AIMI breast-tumor AI segmentation,42
RT Structure Set Storage,"Pre-dose, RIGHT PLEURA - 1 - SEED POINT",41
RT Structure Set Storage,"Pre-dose, SPLEEN - 1",40
Segmentation Storage,"Pre-dose, RIGHT LUNG - 1",40
RT Structure Set Storage,"Pre-dose, PELVIS - 2 - SEED POINT",39
RT Structure Set Storage,"Pre-Dose, LIVER - 1 - SEED POINT",39
RT Structure Set Storage,"Pre-Dose, LIVER - 1",39
RT Structure Set Storage,BSPC_LL_LR_ROI_SDPC,39
Comprehensive 3D SR Storage,Brilliance16,38
Segmentation Storage,Breast Tissue Segmentation,38
Segmentation Storage,Background Threshold,38
Segmentation Storage,manual + threshold,38
RT Structure Set Storage,"Pre-dose, RIGHT BREAST - 1 - SEED POINT",37
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY LYMPH NODE - 1",37
Segmentation Storage,NLSTSeg Segmentation of Series: 4,37
RT Structure Set Storage,"Pre-dose, SPINE - 2 - SEED POINT",36
RT Structure Set Storage,"Pre-dose, LEFT HILUM - 1 - SEED POINT",36
RT Structure Set Storage,"Pre-dose, LEFT PLEURA - 1",36
Segmentation Storage,ISPY2: VOLSER: bi-lateral: Analysis Mask,33
RT Structure Set Storage,"Pre-dose, RIGHT HILAR LYMPH NODE - 1 - SEED POINT",32
RT Structure Set Storage,"Pre-dose, RIGHT PLEURA - 1",32
RT Structure Set Storage,"Pre-dose, SPINE - 2",32
RT Structure Set Storage,"Pre-dose, PERITONEAL LYMPH NODE - 2",32
RT Structure Set Storage,"Pre-dose, RIGHT BREAST - 1",32
Segmentation Storage,"Background Threshold, PEthresh and MinConn filter, VOI limits",31
Segmentation Storage,Avanto,31
Segmentation Storage,alg03_run1,31
RT Structure Set Storage,TEST,30
Segmentation Storage,AIMI lung and FDG tumor AI segmentation,30
Segmentation Storage,QIN CT challenge: alg03 run1segmentation result,30
Segmentation Storage,QIN CT challenge: alg03 run2segmentation result,30
Segmentation Storage,alg03_run2,30
Segmentation Storage,QIN CT challenge: alg03 run3segmentation result,30
Segmentation Storage,alg03_run3,30
RT Structure Set Storage,"Pre-dose, ILIAC LYMPH NODE - 1 - SEED POINT",29
RT Structure Set Storage,RETEST,29
Segmentation Storage,BAMF-Lung-CT,29
Segmentation Storage,QIN CT challenge: alg01 run1segmentation result,29
Segmentation Storage,alg01_run1,29
Segmentation Storage,QIN CT challenge: alg01 run2segmentation result,29
Segmentation Storage,alg01_run2,29
Segmentation Storage,QIN CT challenge: alg01 run3segmentation result,29
Segmentation Storage,alg01_run3,29
Segmentation Storage,QIN CT challenge: alg02 run1segmentation result,29
Segmentation Storage,alg02_run1,29
Segmentation Storage,QIN CT challenge: alg02 run2segmentation result,29
Segmentation Storage,alg02_run2,29
Segmentation Storage,QIN CT challenge: alg02 run3segmentation result,29
Segmentation Storage,alg02_run3,29
RT Structure Set Storage,"Pre-dose, RIGHT RIB - 1 - SEED POINT",28
RT Structure Set Storage,"Pre-dose, PELVIS - 2",28
Segmentation Storage,VOI Breast Tissue Segmentation,28
Segmentation Storage,"Background Threshold, VOI limits",28
RT Structure Set Storage,"Pre-Dose, No Findings",27
RT Structure Set Storage,"Pre-dose, UTERUS - 1 - SEED POINT",27
RT Structure Set Storage,"Pre-dose, LEFT ILIAC BONE - 1 - SEED POINT",27
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY LYMPH NODE - 2 - SEED POINT",27
RT Structure Set Storage,"Pre-Dose, RIGHT KIDNEY - 2 - SEED POINT",27
RT Structure Set Storage,"Pre-Dose, RIGHT KIDNEY - 2",27
RT Structure Set Storage,"Pre-dose, LEFT HILUM - 1",27
Segmentation Storage,BrainLab,27
RT Structure Set Storage,"Pre-dose, LEFT RIB - 1 - SEED POINT",26
RT Structure Set Storage,"Pre-dose, MESENTERIC LYMPH NODE - 1 - SEED POINT",26
RT Structure Set Storage,RTstruct_T2FS,26
RT Structure Set Storage,RTstruct_AlignedT2FStoPET,26
Segmentation Storage,Lymph node segmentations,26
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC BONE - 1 - SEED POINT",25
RT Structure Set Storage,RTstruct_STIR,25
Segmentation Storage,"Pre-dose, LIVER - 2",25
Segmentation Storage,BAMF-Kidney-CT,25
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC LYMPH NODE - 1 - SEED POINT",24
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL - 1 - SEED POINT",24
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL - 1",24
Segmentation Storage,AIMI liver-tumor AI segmentation,24
Segmentation Storage,Custom,24
RT Structure Set Storage,"Pre-dose, PELVIC LYMPH NODE - 1 - SEED POINT",23
RT Structure Set Storage,"Pre-dose, RIGHT AXILARY LYMPH NODE - 1 - SEED POINT",23
RT Structure Set Storage,"Pre-dose, HEPATIC LYMPH NODE - 1 - SEED POINT",23
RT Structure Set Storage,"Pre-dose, RIGHT AXILARY LYMPH NODE - 2 - SEED POINT",23
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL LYMPH NODE - 1 - SEED POINT",23
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL LYMPH NODE - 1",23
RT Structure Set Storage,"Pre-dose, ILIAC LYMPH NODE - 1",23
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY LYMPH NODE - 2",23
RT Structure Set Storage,RTstruct_AlignedSTIRtoPET,23
Segmentation Storage,"Pre-dose, LEFT LUNG - 1",23
RT Structure Set Storage,"Pre-dose, PELVIC LYMPH NODE - 2 - SEED POINT",22
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC LYMPH NODE - 1",22
RT Structure Set Storage,"Pre-dose, RIGHT HILAR LYMPH NODE - 1",22
RT Structure Set Storage,"Pre-dose, HEPATIC LYMPH NODE - 1",22
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL LYMPH NODE - 1 - SEED POINT",21
RT Structure Set Storage,"Pre-dose, SUBCARINAL LYMPH NODE - 1 - SEED POINT",21
RT Structure Set Storage,"Pre-dose, RIGHT RIB - 1",21
RT Structure Set Storage,"Pre-dose, LEFT RIB - 1",21
Segmentation Storage,ROI,21
Real World Value Mapping Storage,PET SUV Factors,20
Comprehensive 3D SR Storage,Sensation 4,20
RT Structure Set Storage,"Pre-dose, CHEST WALL - 1 - SEED POINT",20
RT Structure Set Storage,"Pre-dose, RIGHT INGUINAL LYMPH NODE - 1 - SEED POINT",20
RT Structure Set Storage,"Pre-dose, PELVIC LYMPH NODE - 1",20
RT Structure Set Storage,"Pre-dose, SUBCARINAL LYMPH NODE - 1",20
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC BONE - 1",20
RT Structure Set Storage,"Pre-dose, LEFT ADRENAL GLAND - 2 - SEED POINT",19
RT Structure Set Storage,"Pre-dose, RIGHT HILAR LYMPH NODE - 2 - SEED POINT",19
RT Structure Set Storage,"Pre-dose, RIGHT AXILARY LYMPH NODE - 1",19
RT Structure Set Storage,"Pre-dose, MESENTERIC LYMPH NODE - 1",19
RT Structure Set Storage,"Pre-dose, LEFT ILIAC BONE - 1",19
Segmentation Storage,Carl Zeiss,19
Segmentation Storage,ACRIN-6698: DWI SEG: from S4: Whole Tumor Manual,19
Segmentation Storage,Achieva,19
Segmentation Storage,Fully Annotated,19
RT Structure Set Storage,"Pre-dose, SACRUM - 1 - SEED POINT",18
RT Structure Set Storage,"Pre-Dose, PANCREATIC DUCT - 1 - SEED POINT",18
RT Structure Set Storage,"Pre-dose, PELVIC LYMPH NODE - 2",18
RT Structure Set Storage,"Pre-dose, RIGHT HILAR LYMPH NODE - 2",18
RT Structure Set Storage,"Pre-dose, UTERUS - 1",18
RT Structure Set Storage,"Pre-dose, RIGHT AXILARY LYMPH NODE - 2",18
RT Structure Set Storage,"Pre-Dose, PANCREATIC DUCT - 1",18
Segmentation Storage,Region,18
Comprehensive 3D SR Storage,Sensation 64,17
RT Structure Set Storage,"Pre-dose, RECTUM - 1 - SEED POINT",17
RT Structure Set Storage,"Pre-dose, LEFT BREAST - 1 - SEED POINT",17
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC LYMPH NODE - 2 - SEED POINT",17
RT Structure Set Storage,"Pre-dose, CHEST WALL - 1",17
Segmentation Storage,PE Segmentation thresh=70,17
Segmentation Storage,Sonata,17
RT Structure Set Storage,"Pre-dose, LEFT PLEURA - 2 - SEED POINT",16
RT Structure Set Storage,"Pre-dose, SUBCARINAL LYMPH NODE - 2 - SEED POINT",16
RT Structure Set Storage,"Pre-Dose, PANCREAS - 2 - SEED POINT",16
RT Structure Set Storage,"Pre-Dose, ILIAC CHAIN NODE - 1 - SEED POINT",16
RT Structure Set Storage,"Pre-dose, LEFT ADRENAL GLAND - 2",16
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL LYMPH NODE - 1",16
RT Structure Set Storage,"Pre-dose, SACRUM - 1",16
RT Structure Set Storage,"Pre-Dose, ILIAC CHAIN NODE - 1",16
RT Structure Set Storage,"Pre-Dose, PANCREAS - 2",16
Segmentation Storage,"Pre-dose, RIGHT LUNG - 2",16
Segmentation Storage,MAGNETOM VISION,16
RT Structure Set Storage,"Pre-dose, OMENTUM - 1 - SEED POINT",15
RT Structure Set Storage,"Pre-dose, MESENTERIC LYMPH NODE - 2 - SEED POINT",15
RT Structure Set Storage,"Pre-Dose, RIGHT ADRENAL - 1 - SEED POINT",15
