stratum,carrier,objects,absent,zero_length,non_empty
not identifiable from index / pan_cancer_nuclei_seg_dicom,ContentCreatorName,356,0,356,0
not identifiable from index / pan_cancer_nuclei_seg_dicom,ContributingEquipmentSequence,356,356,0,0
not identifiable from index / pan_cancer_nuclei_seg_dicom,DeviceSerialNumber,356,0,0,356
not identifiable from index / pan_cancer_nuclei_seg_dicom,ImplementationClassUID,356,0,0,356
not identifiable from index / pan_cancer_nuclei_seg_dicom,ImplementationVersionName,356,0,0,356
not identifiable from index / pan_cancer_nuclei_seg_dicom,Manufacturer,356,0,0,356
not identifiable from index / pan_cancer_nuclei_seg_dicom,ManufacturerModelName,356,0,0,356
not identifiable from index / pan_cancer_nuclei_seg_dicom,SeriesDescription,356,356,0,0
not identifiable from index / pan_cancer_nuclei_seg_dicom,SoftwareVersions,356,0,0,356
not identifiable from index / qiba_volct_1b,ContentCreatorName,384,0,0,384
not identifiable from index / qiba_volct_1b,ContributingEquipmentSequence,384,384,0,0
not identifiable from index / qiba_volct_1b,DeviceSerialNumber,384,0,0,384
not identifiable from index / qiba_volct_1b,ImplementationClassUID,384,0,0,384
not identifiable from index / qiba_volct_1b,ImplementationVersionName,384,0,0,384
not identifiable from index / qiba_volct_1b,Manufacturer,384,0,0,384
not identifiable from index / qiba_volct_1b,ManufacturerModelName,384,0,0,384
not identifiable from index / qiba_volct_1b,SeriesDescription,384,384,0,0
not identifiable from index / qiba_volct_1b,SoftwareVersions,384,0,0,384
not identifiable from index / rms_mutation_prediction_expert_annotations,ContentCreatorName,261,0,261,0
not identifiable from index / rms_mutation_prediction_expert_annotations,ContributingEquipmentSequence,261,261,0,0
not identifiable from index / rms_mutation_prediction_expert_annotations,DeviceSerialNumber,261,0,0,261
not identifiable from index / rms_mutation_prediction_expert_annotations,ImplementationClassUID,261,0,0,261
not identifiable from index / rms_mutation_prediction_expert_annotations,ImplementationVersionName,261,0,0,261
not identifiable from index / rms_mutation_prediction_expert_annotations,Manufacturer,261,0,0,261
not identifiable from index / rms_mutation_prediction_expert_annotations,ManufacturerModelName,261,0,0,261
not identifiable from index / rms_mutation_prediction_expert_annotations,SeriesDescription,261,0,0,261
