series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.2.276.0.7230010.3.1.3.1070885483.8668.1599221919.430,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.3.6.1.4.1.14519.5.2.1.164346665263686600014854776201995720457,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.24124056605130151704918590993148153349,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.193229631801025394442097398708023830019,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.4148549909.2120.1344860170.27,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.164387646279588159080326161419,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.309140295298139174528619577949,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.2.826.0.1.3680043.8.498.15701304771916661881376899971470771272,highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,eay131,OK,1,1
1.3.6.1.4.1.14519.5.2.1.22509787565125403063832022509564453556,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53715.1718923518.882785,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53737.1718923522.313390,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.887053554332494645866571253061,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.259069045249535381284088950008,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.67887232997029659630493311420740400911,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.318970146166445097130020068533797719619,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.4220.1599221894.379,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.3.6.1.4.1.14519.5.2.1.199438485800267643320038351459489792809,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1972.1345556740.27,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53394.1718923458.885271,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.212427273476877728855532964945386421313,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.440549807266844095228098039719,QIICR Reporting via 3D Slicer / (null),QIICR Reporting via 3D Slicer,(null),nsclc_radiogenomics,OK,1,1
