collection_id,sop_class_name,series,instances,size_MB,collections,patients,size_GB,mean_MB_per_series
tcga_uvm,Segmentation Storage,285,524,64471.308984,1,80,62.96,226.215
cc_radiomics_phantom_3,RT Structure Set Storage,275,275,92.75131,1,95,0.091,0.337
tcga_thym,Segmentation Storage,242,242,31.78585,1,121,0.031,0.131
rider_pilot,Grayscale Softcopy Presentation State Storage,240,240,0.34212000000000004,1,8,0.0,0.001
ct_phantom4radiomics,Segmentation Storage,238,238,1175.232158,1,1,1.148,4.938
rider_lung_ct,Comprehensive SR Storage,224,224,8.04405,1,32,0.008,0.036
lung_pet_ct_dx,Segmentation Storage,220,220,403.350188,1,151,0.394,1.833
tcga_ov,Segmentation Storage,212,212,28.547204,1,106,0.028,0.135
c4kc_kits,Segmentation Storage,210,210,3040.920688,1,210,2.97,14.481
rider_pilot,Segmentation Storage,200,200,29.183624000000002,1,8,0.028,0.146
breast_mri_nact_pilot,Comprehensive SR Storage,189,189,1.47391,1,64,0.001,0.008
ct_lymph_nodes,Segmentation Storage,176,176,620.151282,1,176,0.606,3.524
tcga_brca,Comprehensive SR Storage,164,164,1.1328259999999999,1,139,0.001,0.007
spinal_multiple_myeloma_seg,Segmentation Storage,144,144,6573.4279639999995,1,67,6.419,45.649
qin_lung_ct,Segmentation Storage,143,143,525.190028,1,46,0.513,3.673
anti_pd_1_lung,Segmentation Storage,142,142,511.214668,1,43,0.499,3.6
rider_pilot,Comprehensive SR Storage,140,140,4.999292,1,8,0.005,0.036
prostate_anatomical_edge_cases,RT Structure Set Storage,131,131,62.765514,1,131,0.061,0.479
pancreatic_ct_cbct_seg,RT Structure Set Storage,130,130,422.956282,1,40,0.413,3.254
qin_breast,Segmentation Storage,123,123,52.864662,1,43,0.052,0.43
lung_phantom,Segmentation Storage,108,108,854.982648,1,1,0.835,7.917
rider_lung_pet_ct,Segmentation Storage,106,106,206.91995,1,46,0.202,1.952
advanced_mri_breast_lesions,Segmentation Storage,99,99,655.59061,1,99,0.64,6.622
rms_mutation_prediction,Segmentation Storage,97,261,6973.395996,1,96,6.81,71.891
rms_mutation_prediction,Comprehensive 3D SR Storage,96,96,4.8471020000000005,1,95,0.005,0.05
breast_diagnosis,Comprehensive SR Storage,94,94,0.6149560000000001,1,50,0.001,0.007
qin_prostate_repeatability,Enhanced SR Storage,90,90,4.066418,1,15,0.004,0.045
qin_prostate_repeatability,Segmentation Storage,90,90,200.157368,1,15,0.195,2.224
pancreas_ct,Segmentation Storage,80,80,229.507418,1,80,0.224,2.869
spie_aapm_lung_ct_challenge,Segmentation Storage,76,76,945.441172,1,70,0.923,12.44
cc_tumor_heterogeneity,RT Structure Set Storage,68,68,11.035486,1,23,0.011,0.162
lctsc,RT Structure Set Storage,60,60,124.329696,1,60,0.121,2.072
rider_lung_ct,RT Structure Set Storage,59,59,10.735486,1,31,0.01,0.182
spine_mets_ct_seg,Segmentation Storage,55,55,1633.552262,1,55,1.595,29.701
adrenal_acc_ki67_seg,Segmentation Storage,53,53,274.09696,1,53,0.268,5.172
qin_breast_dce_mri,Key Object Selection Document Storage,40,40,47.489504,1,10,0.046,1.187
cptac_ccrcc,Segmentation Storage,37,37,214.756316,1,14,0.21,5.804
cc_radiomics_phantom,RT Structure Set Storage,34,34,39.311518,1,17,0.038,1.156
dro_toolkit,Segmentation Storage,32,32,320.847328,1,32,0.313,10.026
uw_cirp_mouse_pet_ct_nsclc,RT Structure Set Storage,25,25,2.017328,1,14,0.002,0.081
nsclc_radiomics_interobserver1,Segmentation Storage,21,21,1193.186992,1,21,1.165,56.818
nsclc_radiomics_interobserver1,RT Structure Set Storage,21,21,6.14017,1,21,0.006,0.292
ct_vs_pet_ventilation_imaging,Real World Value Mapping Storage,20,20,0.851532,1,20,0.001,0.043
tcga_kirp,Segmentation Storage,19,19,78.000266,1,11,0.076,4.105
tcga_kich,Segmentation Storage,15,15,69.676216,1,5,0.068,4.645
