stratum,writer,analysis_result,series,instances,size_MB,size_GB,mean_MB,sd_MB,collections,largest_collection_pct,patients,has_floor,floor_measured,n,byte_cap_MB,expected_MB,expected_GB,sampling_fraction,allocation_rule,reporting_rule
dcmqi / nlstseg,dcmqi,nlstseg,601,601,249.62578000000002,0.24377517578125002,0.4153507154742097,0.4003213615810518,1,100.0,601,True,yes,384,64391.542,159.49467474209652,0.15575651830282863,0.638935,"registered minimum, n = 384",rate with Wilson interval
highdicom / (null),highdicom,(null),597,597,502.609332,0.49082942578125,0.8418916783919598,0.8147322912228441,1,100.0,378,True,yes,384,64391.542,323.28640450251254,0.3157093793969849,0.643216,"registered minimum, n = 384",rate with Wilson interval
not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,520,520,353.210692,0.34493231640625,0.6792513307692307,1.5866198783166325,2,61.54,40,False,no,384,64391.542,260.8325110153846,0.25471924903846155,0.738462,"registered minimum, n = 384",rate with Wilson interval
QIICR Reporting via 3D Slicer / qin_lungct_seg,QIICR Reporting via 3D Slicer,qin_lungct_seg,378,378,2834.014604,2.76759238671875,7.497393132275132,2.535716474286271,4,28.57,31,False,no,378,64391.542,2834.014604,2.76759238671875,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
dcmqi / prostatex_seg_zones,dcmqi,prostatex_seg_zones,98,98,149.443556,0.14594097265625,1.5249342448979593,0.3110464553415743,1,100.0,98,True,yes,98,64391.542,149.443556,0.14594097265625,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
not identifiable from index / rms_mutation_prediction_expert_annotations,not identifiable from index,rms_mutation_prediction_expert_annotations,97,261,6973.395996,6.80995702734375,71.89068037113402,77.76207695128019,1,100.0,96,False,no,97,64391.542,6973.395996,6.80995702734375,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
QIICR Reporting via 3D Slicer / (null),QIICR Reporting via 3D Slicer,(null),96,96,816.4321180000001,0.7972969902343751,8.504501229166667,4.0090587257416805,1,100.0,96,False,no,96,64391.542,816.4321180000001,0.7972969902343751,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,80,80,229.507418,0.224128337890625,2.868842725,0.5358867300135185,1,100.0,80,True,yes,80,64391.542,229.507418,0.224128337890625,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,66,66,125.17020400000001,0.12223652734375001,1.8965182424242426,0.44644578366506,1,100.0,66,True,yes,66,64391.542,125.17020400000001,0.12223652734375001,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
dcmqi / rider_lungct_seg,dcmqi,rider_lungct_seg,59,59,945.9505740000001,0.9237798574218751,16.033060576271186,1.8035019672151278,1,100.0,31,True,yes,59,64391.542,945.9505740000001,0.9237798574218751,1.0,"whole stratum, N at or under the registered minimum","rate with Wilson interval, below-registered-n flag"
